기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2019	강북구	82	1	14,342.3	1	-	11,899.0	62	1	2,287.4	44	76.2	12	9.5	3	-	2,049.7	-	1	129.4	-	-	3	22.6	-	-	-	-	-	-	-	-	-	-	19	-	155.9
2019	도봉구	79	2	10,075.0	-	1	8,703.0	50	1	1,163.5	39	49.2	7	9.7	2	1	1,003.6	-	-	-	-	-	-	-	1	49.8	-	-	-	-	1	51.1	-	-	29	-	208.5
2019	노원구	181	-	14,344.4	-	-	-	128	-	13,848.1	92	168.1	3	4.1	25	-	1,535.6	2	-	12,024.3	-	-	5	48.8	1	67.1	-	-	-	-	-	-	-	-	53	-	496.3
2019	은평구	130	3	13,991.6	-	1	7,663.0	97	2	6,223.4	45	81.5	23	45.8	24	1	2,690.4	2	1	3,340.3	-	-	3	65.3	-	-	-	-	-	-	-	-	-	-	33	-	105.2
2019	서대문구	118	3	5,143.3	-	1	218	77	2	4,904.8	43	103.4	21	15.8	8	-	1,322.2	1	2	3,449.5	-	-	4	13.9	-	-	-	-	-	-	-	-	-	-	41	-	20.5
2019	마포구	142	-	4,440.0	-	-	-	98	-	3,126.9	54	88.2	22	32.6	11	-	2,860.4	-	-	-	1	13.2	9	127.7	-	-	1	4.8	-	-	-	-	-	-	44	-	1,313.2
2019	양천구	121	1	2,912.0	-	-	-	103	1	2,489.5	74	129.1	10	23.1	18	-	1,115.9	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	-	-	18	-	422.6
2019	강서구	170	-	4,370.3	-	-	-	158	-	3,285.9	122	184.7	6	5.9	23	-	3,068.5	-	-	-	-	-	6	24.2	-	-	-	-	-	-	-	-	1	2.6	12	-	1,084.4
2019	구로구	104	1	3,336.1	-	-	-	64	1	3,014.4	26	53.3	14	23.5	16	1	1,217.8	2	-	1,685.4	-	-	3	14.4	1	12.8	-	-	-	-	-	-	2	7.2	40	-	321.7
2019	금천구	55	1	2,206.2	-	-	-	47	1	2,042.2	41	41.4	2	5.2	2	-	22.8	-	1	1,955.4	-	-	2	17.3	-	-	-	-	-	-	-	-	-	-	8	-	164
2019	영등포구	108	-	3,050.4	-	-	-	74	-	705.6	29	86.1	31	46.6	11	-	563.3	-	-	-	-	-	2	6.6	-	-	1	3	-	-	-	-	-	-	34	-	2,344.8
2019	동작구	78	1	4,584.2	-	-	-	63	-	4,390.2	32	42.9	18	19.4	10	-	2,863.8	-	-	-	1	1,404.0	1	12.2	-	-	1	47.8	-	-	-	-	-	-	15	1	194
2019	관악구	110	2	10,976.9	-	-	-	98	2	10,970.4	71	87.2	17	22.6	4	2	401.9	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	33.5	-	-	-	-	12	-	6.5
2019	서초구	177	-	16,081.0	-	-	-	151	-	15,274.2	87	155.4	25	54.2	28	-	1,757.4	6	-	13,026.3	1	127.8	-	-	1	20.9	-	-	3	132.1	-	-	-	-	26	-	806.8
2019	강남구	155	2	6,594.3	-	-	-	142	2	5,304.7	62	99.5	16	28.4	59	-	2,582.8	-	2	2,449.8	-	-	1	34	-	-	2	96.1	2	14.1	-	-	-	-	13	-	1,289.7
2019	송파구	169	1	4,644.8	-	-	-	156	-	2,037.6	87	151.5	11	31.6	55	-	1,774.8	-	-	-	-	-	-	-	-	-	2	75.4	1	4.3	-	-	-	-	13	1	2,607.2
2019	강동구	124	1	3,369.8	-	-	-	115	1	2,827.5	62	133.8	17	22	30	-	1,805.8	1	1	713.4	-	-	1	0.8	-	-	1	110.2	3	41.5	-	-	-	-	9	-	542.2
2019	서울대공원	1	-	6,670.0	-	-	-	1	-	6,670.0	-	-	-	-	1	-	6,670.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
